ID,DateTime,Weight(kg),Squat(kg),Sumo_deadlift(kg),Rest_Period(day),Workout_time
21,2022-12-25,78.7,154,175,3,1
22,2023-01-01,77.5,155,175,3,2
23,2023-01-11,75.9,157,189,2,2
24,2023-01-19,75.3,159,170,5,2
25,2023-01-24,76,163,185,2,2
26,2023-02-01,75.4,150,175,3,2
27,2023-02-13,74.8,150,179,3,1
28,2023-02-20,75.5,145,165,3,2
29,2023-02-28,74.5,141,177,3,1
30,2023-03-08,73.8,150,171,3,2
31,2023-03-20,73,135,156,4,1
32,2023-03-28,71.7,140,161,3,1
33,2023-04-05,70.8,135,163,3,0
34,2023-04-12,69,132,151,7,0
35,2023-04-21,69.6,139,140,2,2
36,2023-04-30,70.4,145,153,6,2
37,2023-05-06,69.8,155,152.5,1,2
38,2023-05-19,70.2,128,138.5,14,0
